Date,Open,High,Low,Close,Adj Close,Volume
11/20/2017,150.639999,151.949997,149.899994,150.509995,142.338303,5676500
11/21/2017,151.300003,152.449997,151.199997,151.949997,143.700119,3756200
11/22/2017,152,152.389999,151.330002,151.770004,143.529892,3213600
11/24/2017,151.949997,152.199997,151.330002,151.839996,143.596085,1193000
11/27/2017,152.059998,152.490005,151.619995,151.979996,143.7285,3374000
11/28/2017,152.350006,152.929993,151.699997,152.470001,144.191895,3973700
11/29/2017,152.809998,153.610001,152.169998,153.550003,145.213257,5098700
11/30/2017,153.649994,154.410004,153.080002,153.970001,145.610443,6500800
12/1/2017,154.399994,155.020004,152.910004,154.759995,146.357559,5567900
12/4/2017,155.960007,156.800003,155.070007,156.460007,147.965286,4664300
12/5/2017,156.449997,156.740005,154.679993,155.350006,146.915543,5068000
12/6/2017,154.100006,156.220001,154.089996,154.100006,145.733398,3410700
12/7/2017,153.589996,154.449997,153.259995,153.570007,145.232178,3771100
12/8/2017,154.979996,155.029999,153.550003,154.809998,146.404846,3520300
12/11/2017,155.460007,155.889999,154.570007,155.410004,146.97226,4102700
12/12/2017,157.300003,157.850006,155.160004,156.740005,148.230072,6321800
12/13/2017,156.600006,156.729996,153.889999,153.910004,145.553711,5661600
12/14/2017,154.600006,155.110001,153.699997,154,145.638824,4637400
12/15/2017,153.610001,153.800003,152.029999,152.5,144.220261,11279900
12/18/2017,153.589996,154.179993,153.210007,153.330002,145.005203,5092800
12/19/2017,154.050003,154.169998,153.089996,153.229996,144.910645,4116400
12/20/2017,153.649994,153.889999,152.779999,152.949997,144.645828,3785700
12/21/2017,153.169998,153.460007,151.490005,151.5,143.274567,4153900
12/22/2017,151.820007,153,151.5,152.5,144.220261,2990600
12/26/2017,152.509995,153.860001,152.5,152.830002,144.532349,2479000
12/27/2017,152.949997,153.179993,152.610001,153.130005,144.816071,2149300
12/28/2017,153.199997,154.119995,153.199997,154.039993,145.676651,2687600
12/29/2017,154.169998,154.720001,153.419998,153.419998,145.090317,3327100
1/2/2018,154.5,154.809998,153.539993,154.25,145.875259,4202500
1/3/2018,157.339996,159.809998,156.330002,158.490005,149.885071,9441600
1/4/2018,159.649994,162.320007,159.369995,161.699997,152.920776,7556200
1/5/2018,162.440002,162.899994,161.100006,162.490005,153.667892,5195800
1/8/2018,162.660004,163.910004,161.699997,163.470001,154.594681,5237500
1/9/2018,163.899994,164.529999,163.059998,163.830002,154.935135,4341800
1/10/2018,162.910004,164.330002,162.5,164.179993,155.266129,4174100
1/11/2018,164.800003,164.940002,163.300003,164.199997,155.285049,3794500
1/12/2018,164.020004,164.740005,163.029999,163.139999,154.282578,5031900
1/16/2018,165.100006,165.289993,163.350006,163.850006,154.954056,7794200
1/17/2018,168.009995,169.130005,167.259995,168.649994,159.493423,11630500
1/18/2018,170,171.130005,168.149994,169.119995,159.937897,14259300
1/19/2018,164.460007,165.399994,161.300003,162.369995,153.554382,21172500
1/22/2018,161.509995,163.979996,161.110001,162.600006,153.771912,8480800
1/23/2018,162.820007,166.259995,162.509995,166.25,157.22374,7466200
1/24/2018,166.75,168.720001,164.820007,165.369995,156.39151,5645000
1/25/2018,165.910004,166.779999,165.190002,165.470001,156.486069,3302500
1/26/2018,166.119995,167.410004,165.789993,167.339996,158.254562,3787900
1/29/2018,167.449997,168.389999,166.009995,166.800003,157.743866,3517000
1/30/2018,166.210007,166.770004,163.160004,163.619995,154.736526,4902300
1/31/2018,163.75,164.990005,162.759995,163.699997,154.81218,4072800
2/1/2018,163.190002,164.130005,161.899994,162.399994,153.582764,4434200
2/2/2018,161.699997,162,158.869995,159.029999,150.395721,5251900
2/5/2018,157.889999,158.5,150,152.529999,144.248642,8746600
2/6/2018,150.289993,155.490005,149.110001,155.339996,146.906067,9867700
2/7/2018,154.169998,155.339996,153.279999,153.850006,145.496979,6149200
2/8/2018,152.479996,153.160004,147.5,147.589996,140.95108,6779100
2/9/2018,148.600006,150.539993,144.399994,149.509995,142.784729,7828300
2/12/2018,150.899994,152.399994,150.300003,151.399994,144.589691,5881400
2/13/2018,150.899994,151.179993,149.639999,150.75,143.968948,4891000
2/14/2018,150.190002,155,150,154.759995,147.798569,5479000
2/15/2018,155.5,156.860001,153.699997,156.009995,148.992355,5623600
2/16/2018,155.710007,157.789993,155.690002,156.179993,149.154694,4282900
2/20/2018,155.789993,155.960007,153.869995,155.160004,148.180573,4489600
2/21/2018,155.429993,156.789993,153.899994,153.960007,147.034576,3728600
2/22/2018,154.5,155.039993,152.789993,153.179993,146.289627,4024600
2/23/2018,154.300003,155.850006,154.070007,155.520004,148.524384,3256100
2/26/2018,155.809998,158.880005,155.509995,158.580002,151.446747,3610300
2/27/2018,158.460007,159.779999,156.529999,156.550003,149.508057,4237300
2/28/2018,157.5,158.139999,155.800003,155.830002,148.820435,3803500
